year,county_name,state,county,population,median_income,poverty_rate,hs_grad,some_college,associate,bachelor_plus,pct_white,pct_black,pct_hispanic
2021,Davis,49,011,367285,93182,0.06491723704332117,53430,22318,4041,3258,0.8033625114012279,0.011133043821555468,0.10749690295002519
2021,Salt Lake,49,035,1186421,80712,0.08545272185776132,183506,72052,16610,11803,0.6848243583011426,0.015319182651015112,0.19263482355757358
2021,Tooele,49,045,76640,93908,0.03532573076418928,5812,2267,784,199,,,
2021,Utah,49,049,684986,86781,0.07864640381062665,111810,38515,5739,6259,0.7968265044833033,0.005760701678574453,0.1267339770447863
2021,Washington,49,053,191226,61186,0.0953936552718942,25404,11702,4295,1566,0.8113697928106011,0.0042515139154717455,0.11339462207022058
2021,Weber,49,057,267066,72087,0.09256897641311299,33586,11399,1820,2007,0.7461077037136887,0.011109613354002382,0.18844031063482436
2022,Cache,49,005,140173,76457,0.1356102793164754,19995,8573,865,1773,0.8122819658564774,0.008204147731731504,0.11293901107916646
2022,Davis,49,011,369948,103563,0.0652123020301943,59162,24347,4454,3095,0.8056240336479722,0.013255917047801312,0.11098857136678668
2022,Salt Lake,49,035,1186257,91924,0.07424034328898728,190506,71240,19499,17458,0.6772925259872018,0.016760280445131198,0.19707365267391466
2022,Tooele,49,045,79934,91386,0.0656815485955127,7398,2527,154,614,0.7849851127179923,0.003327745389946706,0.15049916180849202
2022,Utah,49,049,702434,95338,0.07866100640992114,109523,37880,5602,6044,0.7929712969474713,0.006097370002021542,0.1311183684161074
2022,Washington,49,053,197680,74543,0.10335643346291942,30271,12993,2857,1797,0.8218433832456495,0.0035107244030756777,0.11615742614326184
2022,Weber,49,057,269561,83949,0.07830285010661621,32528,13472,1863,1430,0.739461568995515,0.00962676351549371,0.19211977993849258
2023,Cache,49,005,142393,83695,0.11367731487222883,21496,7824,998,1749,0.8111564472972689,0.005239021581117049,0.11909995575625207
2023,Davis,49,011,373207,111778,0.05903297537693893,57362,25187,3878,2452,0.7908345770577723,0.01215947182126809,0.11982894211523364
2023,Salt Lake,49,035,1185813,94439,0.09396313927357305,189809,85828,21143,15591,0.6643846879735675,0.015348119813157724,0.2070031278118894
2023,Tooele,49,045,82051,94201,0.08082230357645734,8044,2557,233,193,0.773506721429355,0.010980975247102412,0.15855992004972516
2023,Utah,49,049,719174,100895,0.09027678299163906,118085,41913,6385,6185,0.7723860984963306,0.006775828937086157,0.1462747540928899
2023,Washington,49,053,202452,77480,0.12299462574656257,27043,12681,2831,2571,0.8086460000395156,0.0037687945784679825,0.12366388082113292
2023,Weber,49,057,271926,87565,0.08165935446355019,35435,12545,1693,1992,0.7363841633385554,0.01425755536432706,0.1938909850474026
